veckonummer,Kommun_stadsdel,tot_antal_fall_per10000inv,antal_fall_per10000_inv,tot_antal_fall,nya_fall_vecka
7,Nybro,0,0,0,0
7,Nykvarn,0,0,0,0
7,Nyköping,0,0,0,0
7,Nynäshamn,0,0,0,0
7,Nässjö,0,0,0,0
7,Ockelbo,0,0,0,0
7,Okänd,,,0,0
7,Olofström,0,0,0,0
7,Orsa,0,0,0,0
7,Orust,0,0,0,0
7,Osby,0,0,0,0
7,Oskarshamn,0,0,0,0
7,Ovanåker,0,0,0,0
7,Oxelösund,0,0,0,0
7,Pajala,0,0,0,0
7,Partille,0,0,0,0
7,Perstorp,0,0,0,0
7,Piteå,0,0,0,0
7,Ragunda,0,0,0,0
7,Robertsfors,0,0,0,0
7,Ronneby,0,0,0,0
7,Rättvik,0,0,0,0
7,Sala,0,0,0,0
7,Salem,0,0,0,0
7,Sandviken,0,0,0,0
7,Sigtuna,0,0,0,0
7,Simrishamn,0,0,0,0
7,Sjöbo,0,0,0,0
7,Skara,0,0,0,0
7,Skellefteå,0,0,0,0
7,Skinnskatteberg,0,0,0,0
7,Skurup,0,0,0,0
7,Skövde,0,0,0,0
7,Smedjebacken,0,0,0,0
7,Sollefteå,0,0,0,0
7,Sollentuna,0,0,0,0
7,Solna,0,0,0,0
7,Sorsele,0,0,0,0
7,Sotenäs,0,0,0,0
7,Staffanstorp,0,0,0,0
7,Stenungsund,0,0,0,0
7,Stockholm Älvsjö,0,0,0,0
7,Stockholms kommun Enskede-Årsta-Vantör,0,0,0,0
7,Stockholm Skarpnäck,0,0,0,0
7,Stockholm - Kungsholmen,0,0,0,0
7,Stockholm Södermalm,0,0,0,0
7,Stockholm Rinkeby-Kista,0,0,0,0
7,Stockholm Norrmalm,0,0,0,0
7,Stockholm Hägersten-Liljeholmen,0,0,0,0
7,Stockholm kommun Skärholmen,0,0,0,0
7,Skhlm Spånga-Tensta,0,0,0,0
7,Stockholm Östermalm,0,0,0,0
7,Stockholm Bromma,0,0,0,0
7,Stockholm Farsta,0,0,0,0
7,Stockholm Hässelby-Vällingby,0,0,0,0
7,Storfors,0,0,0,9999999
7,Storuman,0,0,0,0
7,Strängnäs,0,0,0,0
7,Strömstad,0,0,0,0
7,Strömsund,0,0,0,0
7,Sundbyberg,0,0,0,0
7,Sundsvall,0,0,0,0
7,Sunne,0,0,0,0
7,Surahammar,0,0,0,0
7,Svalöv,0,0,0,0
7,Svedala,0,0,0,0
7,Svenljunga,0,0,0,0
7,Säffle,0,0,0,0
7,Säter,0,0,0,0
7,Sävsjö,0,0,0,0
7,Söderhamn,0,0,0,0
7,Söderköping,0,0,0,0
7,Södertälje,0,0,0,9999999
7,Sölvesborg,0,0,0,0
7,Tanum,0,0,0,0
7,Tibro,0,0,0,0
7,Tidaholm,0,0,0,0
7,Tierp,0,0,0,0
7,Timrå,0,0,0,0
7,Tingsryd,0,0,0,0
7,Tjörn,0,0,0,0
7,Tomelilla,0,0,0,0
7,Torsby,0,0,0,0
7,Torsås,0,0,0,0
7,Tranemo,0,0,0,0
7,Tranås,0,0,0,0
7,Trelleborg,0,0,0,0
7,Trollhättan,0,0,0,0
7,Trosa,0,0,0,0
